lat,long,postcode,name,address
-37.804667,144.981057,3065,EAST WEST CHILD CARE,"144-156, George Street, Fitzroy"
-38.029653,145.275714,3976,ECO KIDS CHILD CARE CENTRE,"Pound Road, Hampton Park"
-38.039975,145.359502,3805,EDRINGTON PARK CHILD CARE & KINDERGARTEN,"Edrington Park Drive, Berwick, Harkaway"
-37.67297,144.576249,3337,EDUKIDS LEARNING CHILD CARE AND KINDERGARTEN,"Greenhills Drive, Kurunjang"
-37.862785,144.976369,3182,EILDON RD CHILD CARE CENTRE,"Eildon Road, St Kilda"
-38.00175,145.098096,3195,ELITE PETITES,"5, Hall Mark Road, Mordialloc"
-37.882366,145.015469,3185,ELSTERNWICK CHILD CARE CENTRE,"Allison Road, Elsternwick"
-37.716053,145.145632,3095,ELTHAM CHILD CARE CO-OP LTD,"Eltham Library, Library Place, Eltham South, Eltham"
-37.722592,145.141162,3095,ELTHAM LEISURE CENTRE CRECHE,"11, Susan Street, Eltham South, Eltham"
-37.689827,145.142633,3095,ELTHAM NORTH CHILD CARE,"Ryans Road, Eltham North"
-37.707901,145.167332,3095,ELTHAM WOODS CHILD CARE CENTRE CO-OP,"Eltham Woods, Frank Street, Woodridge, Eltham, Kangaroo Ground"
-37.83291,144.961665,3205,EMERALD HILL CHILD CARE CENTRE,"Dorcas Street, South Melbourne"
-37.97843,145.258517,3177,ENDEAVOUR HILLS LEISURE CENTRE (CRECHE),"Raymond McMahon Boulevard, Endeavour Hills"
-37.978798,145.263665,3177,ENDEAVOUR HILLS UNITING CHURCH CHILD CARE CENTRE,"Hellyer Way, Endeavour Hills"
-38.223699,145.183675,3912,ERAMOSA CHILD CARE,"Eramosa Road East, Somerville"
-37.82421,144.956109,3005,EVENT CHILD CARE,"Clarendon Street, South Wharf"
-36.863945,147.282037,3699,FALLS CREEK OCCASIONAL CHILD CARE,"Falls Creek Resort, Slalom Street, Falls Creek"
-37.791194,144.935804,3000,FEDERATION FAMILY DAY CARE,"51, Stubbs Street, Kensington"
-38.172204,144.384573,3214,FIRST STEPS CHILD CARE CENTRE,"Regent Street, Whittington, Geelong"
-37.786316,144.931537,3000,FLEMINGTON CHILD CARE CO-OPERATIVE,"2A, Wellington Street, Kensington"
-37.95909,145.065626,3192,FRIENDSHIP SQUARE CHILD CARE CENTRE,"Friendship Square, Cheltenham"
-37.747308,144.779163,3021,FUTURE KIDS CHILD CARE -CAIRNLEA,"Station Road Service Road, Cairnlea"
-38.109405,145.255314,3977,FUTURE KIDS CHILD CARE -CRANBOURNE CENTRAL,"Navarre Drive, Cranbourne West, Cranbourne"
-38.095382,145.293889,3977,FUTURE KIDS CHILD CARE -CRANBOURNE EAST,"Tilbury Court, Cranbourne East, Cranbourne"
-37.873263,144.613127,3024,FUTURE KIDS CHILD CARE -MANOR LAKES,"Ballan Road, Wyndham Vale"
-38.072736,145.476358,3810,FUTURE KIDS CHILD CARE -PAKENHAM,"Main Street, Pakenham"
-37.900346,144.740279,3030,FUTURE KIDS CHILD CARE -POINT COOK,"Paradise Parade, Alamanda, Point Cook"
