"State","Municipality","Name Id","Place Name","Place Name Status","Feature Type Code","Feature Type","Longitude","Latitude","Place Id","Historical Information","Origin Language","Australian Indigenous Language","Anzac Related Name","Date First Recorded Day","Date First Recorded Month","Date First Recorded Year","Source","Author","Title","Date Published Day","Date Published Month","Date Published Year","Publisher","Place of Publication","Pages(s)","Editor","Chapter Title","Journal Name","Issue","Year","Newspaper","File Number","Site Owner","Page Title","Site Title","Url","Location","Type of Artefact","Cartographer","Scale","Informant","Tape Title","Tape Number","Municipal Name","Endorsed by Council","Council Minutes","Organisation Name","Endorsed by GPNAP"
"VIC","MORNINGTON PENINSULA SHIRE","115980","BENTONS SQUARE VACATION CARE","RECORDED","CHCA","CHILD CARE","145.048712","-38.246797","115735","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","CAMPASPE SHIRE","118405","BERRIMBA CHILD CARE","RECORDED","CHCA","CHILD CARE","144.750656","-36.131369","118160","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","WANGARATTA RURAL CITY","118408","BILLY LIDS CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","146.297559","-36.345376","118163","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","MORELAND CITY","115999","BINDI CHILD CARE & KINDERGARTEN","RECORDED","CHCA","CHILD CARE","144.970737","-37.756357","115754","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","KNOX CITY","116000","BIRCHFIELD CRESCENT CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","145.233067","-37.862647","115755","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","SOUTH GIPPSLAND SHIRE","118410","BIRRALEE CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","145.821087","-38.43131","118165","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","KNOX CITY","116022","BORONIA BUSY BODIES CRECHE","RECORDED","CHCA","CHILD CARE","145.283752","-37.860371","115777","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","WHITEHORSE CITY","116033","BOX HILL EARLY LEARNING CHILD CARE CENTRE & KINDERGARTEN","RECORDED","CHCA","CHILD CARE","145.13334","-37.805692","115788","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","MONASH CITY","116048","BRIGHT BEGINNINGS CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","145.087358","-37.92074","115803","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","BAYSIDE CITY","116547","BRIGHTON BEACH CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","144.993598","-37.929516","116302","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
